Intent,Query,Response
sakec.agent.update.link.1,Syllabus ,https://www.shahandanchor.com/home/syllabus/
sakec.agent.update.link.2,Departmental Library ,https://www.shahandanchor.com/home/departmental-library/
sakec.agent.update.link.3,News Letter ,https://www.shahandanchor.com/home/news-letter/
sakec.agent.update.link.4,Notice ,https://www.shahandanchor.com/home/notice/
sakec.agent.update.link.5,Question Papers ,https://www.shahandanchor.com/home/question-papers/
sakec.agent.update.link.6,Achievements ,https://www.shahandanchor.com/home/achievements/
sakec.agent.update.link.7,Events ,https://www.shahandanchor.com/home/events/
sakec.agent.update.link.8,Cafeteria ,https://www.shahandanchor.com/home/cafeteria/
sakec.agent.update.link.9,Anti Ragging Affidavit Format ,https://www.shahandanchor.com/home/anti-ragging-affidavit-format/
sakec.agent.update.link.10,Principal’s Desk ,https://www.shahandanchor.com/home/principals-desk/
sakec.agent.update.link.11,ISTE-Magazine launch 2018 ,https://www.shahandanchor.com/home/iste-magazine-launch-2018/
sakec.agent.update.link.12,Store Staff ,https://www.shahandanchor.com/home/store-staff/
sakec.agent.update.link.13,Computer Syllabus & Question Papers ,https://www.shahandanchor.com/home/computer-syllabus-question-papers/
sakec.agent.update.link.14,AICTE Skill Testing ,https://www.shahandanchor.com/home/aicte-skill-testing/
sakec.agent.update.link.15,Meet the Entrepreneur- The Exceptional One ,https://www.shahandanchor.com/home/meet-entrepreneur-exceptional-one/
sakec.agent.update.link.16,Bringing Industry into Classroom ,https://www.shahandanchor.com/home/bringing-industry-into-classroom/
sakec.agent.update.link.17,Event ,https://www.shahandanchor.com/home/event/
sakec.agent.update.link.18,PIXEL ,https://www.shahandanchor.com/home/pixel/
sakec.agent.update.link.19,SAKEC Robo Club Inauguration ,https://www.shahandanchor.com/home/sakec-robo-club-inauguration/
sakec.agent.update.link.20,Social Awareness ,https://www.shahandanchor.com/home/social-awareness/
sakec.agent.update.link.21,Placement Orientation ,https://www.shahandanchor.com/home/placement-orientation/
sakec.agent.update.link.22,KPIT Sparkle 2019 - an annual innovation contest ,https://www.shahandanchor.com/home/kpit-sparkle-2019-an-annual-innovation-contest/
sakec.agent.update.link.23,Periodicals - 2018 ,https://www.shahandanchor.com/home/periodicals-2018-2/
