Query,Response
Syllabus .,https://www.shahandanchor.com/home/syllabus/
Departmental Library .,https://www.shahandanchor.com/home/departmental-library/
News Letter .,https://www.shahandanchor.com/home/news-letter/
Notice .,https://www.shahandanchor.com/home/notice/
Question Papers .,https://www.shahandanchor.com/home/question-papers/
Achievements .,https://www.shahandanchor.com/home/achievements/
Events .,https://www.shahandanchor.com/home/events/
Cafeteria .,https://www.shahandanchor.com/home/cafeteria/
Anti Ragging Affidavit Format .,https://www.shahandanchor.com/home/anti-ragging-affidavit-format/
Principal’s Desk .,https://www.shahandanchor.com/home/principals-desk/
ISTE-Magazine launch 2018 .,https://www.shahandanchor.com/home/iste-magazine-launch-2018/
Store Staff .,https://www.shahandanchor.com/home/store-staff/
Computer Syllabus & Question Papers .,https://www.shahandanchor.com/home/computer-syllabus-question-papers/
AICTE Skill Testing .,https://www.shahandanchor.com/home/aicte-skill-testing/
Meet the Entrepreneur- The Exceptional One .,https://www.shahandanchor.com/home/meet-entrepreneur-exceptional-one/
Bringing Industry into Classroom .,https://www.shahandanchor.com/home/bringing-industry-into-classroom/
Event .,https://www.shahandanchor.com/home/event/
PIXEL .,https://www.shahandanchor.com/home/pixel/
SAKEC Robo Club Inauguration .,https://www.shahandanchor.com/home/sakec-robo-club-inauguration/
Social Awareness .,https://www.shahandanchor.com/home/social-awareness/
Placement Orientation .,https://www.shahandanchor.com/home/placement-orientation/
KPIT Sparkle 2019 - an annual innovation contest .,https://www.shahandanchor.com/home/kpit-sparkle-2019-an-annual-innovation-contest/
Periodicals - 2018 .,https://www.shahandanchor.com/home/periodicals-2018-2/
Supporting Staff .,https://www.shahandanchor.com/home/supporting-staff/
E-Library .,https://www.shahandanchor.com/home/e-library/
Home .,https://www.shahandanchor.com/home/home/
Contact Us .,https://www.shahandanchor.com/home/contact-us/
ISTE postgraduation studies .,https://www.shahandanchor.com/home/iste-postgraduation-studies/
Tips on Interview Skills .,https://www.shahandanchor.com/home/tips-on-interview-skills/
First Year Engineering Admission Notification 2018 - 19 .,https://www.shahandanchor.com/home/admission-notification-2018-19/
Vice-Principal’s Desk .,https://www.shahandanchor.com/home/vice-principals-desk/
Chairman’s Desk .,https://www.shahandanchor.com/home/chairmans-desk/
List of Eligible Students FOR B.E (ACADEMIC YEAR 2017-18) .,https://www.shahandanchor.com/home/list-eligible-students/
Instructions for Railway Concession Pass .,https://www.shahandanchor.com/home/instruction-railway-concession-pass/
FE Time Table 2017-18 .,https://www.shahandanchor.com/home/fe-time-table-2017-18/
List of Eligible Students T.E. (Academic Year 2017-18) .,https://www.shahandanchor.com/home/list-eligible-students-t-e-academic-year-2017-18/
List of Eligible Students S.E.(2017-18) .,https://www.shahandanchor.com/home/list-eligible-students-s-e-2017-18/
Ethical hacking and Digital Forensic .,https://www.shahandanchor.com/home/ethical-hacking-digital-forensic/
Our Recruiters .,https://www.shahandanchor.com/home/our-recruiters/
Industrial Visit .,https://www.shahandanchor.com/home/industrial-visit/
Direct Second Year Engineering Admission Notification 2018 - 19 .,https://www.shahandanchor.com/home/direct-second-year-engineering-admission-notification-2018-19/
Student Development Program .,https://www.shahandanchor.com/home/training-session/
Academic Calendar for FE (2018-19 Odd) .,https://www.shahandanchor.com/home/academic-calendar-fe-2017-18-odd/
ISTE Matlab Workshop .,https://www.shahandanchor.com/home/iste-matlab-workshop/
Data mining workshop .,https://www.shahandanchor.com/home/data-mining-workshop/
Ionic Framework .,https://www.shahandanchor.com/home/rtl-design-functional-verification/
Scientific Calculator Workshop .,https://www.shahandanchor.com/home/scientific-calculator-workshop-2/
Engineering Life Seminar .,https://www.shahandanchor.com/home/engineering-life-seminar/
Secure Life with Shield of Insurance .,https://www.shahandanchor.com/home/secure-life-with-shield-of-insurance/
Innovation Challenge By Accenture .,https://www.shahandanchor.com/home/innovation-challenge-by-accenture/
SAKEC-Shah & Anchor Kutchhi Engineering College -,https://www.shahandanchor.com/home/
Sample Page .,https://www.shahandanchor.com/home/sample-page/
Railway Concession Pass .,https://www.shahandanchor.com/home/railway-concession-pass/
Olympus .,https://www.shahandanchor.com/home/olympus/
Cultural Festival .,https://www.shahandanchor.com/home/cultural-festival/
Training & Placement Activities .,https://www.shahandanchor.com/home/training-placement-activities/
Internal Complaints Committee (ICC) .,https://www.shahandanchor.com/home/internal-complaints-committee-icc/
Conduct & Discipline .,https://www.shahandanchor.com/home/conductdiscipline/
Auditorium .,https://www.shahandanchor.com/home/auditorium/
Result Analysis .,https://www.shahandanchor.com/home/result-analysis/
Website Development using WordPress .,https://www.shahandanchor.com/home/web-development-using-wordpress/
Dive in Deep Learning Workshop Prerequiste .,https://www.shahandanchor.com/home/dive-in-deep-learning-workshop-prerequiste/
CAREER GUIDANCE FOR HIGHER STUDIES .,https://www.shahandanchor.com/home/career-guidance-for-higher-studies/
Workshop on VHDL .,https://www.shahandanchor.com/home/workshop-on-vhdl/
Kerala Floods:Untold .,https://www.shahandanchor.com/home/kerala-floodsuntold/
Student Leadership Program by Indian Development Foundation .,https://www.shahandanchor.com/home/student-leadership-program-by-indian-development-foundation/
Special Interest Group on AI & Deep Learning .,https://www.shahandanchor.com/home/special-interest-group-on-ai-deep-learning/
Career Guidance for Higher Studies .,https://www.shahandanchor.com/home/coding-with-java/
Student Counsil 2017-18 .,https://www.shahandanchor.com/home/4135-2/
SPORTS .,https://www.shahandanchor.com/home/sports/
CULTURE .,https://www.shahandanchor.com/home/culture/
SAKEC-QUIZ 2018 .,https://www.shahandanchor.com/home/sakec-quiz-2018/
Globalink Research Internship 2018 .,https://www.shahandanchor.com/home/globalink-research-internship-2018/
Sweden-India Nobel Memorial Quiz 2018 .,https://www.shahandanchor.com/home/sweden-india-nobel-memorial-quiz-2018-2/
Defeating CyberCrime with Awareness .,https://www.shahandanchor.com/home/defeating-cybercrime-with-awareness/
Start up Records .,https://www.shahandanchor.com/home/start-up-records/
CODEVITA winners .,https://www.shahandanchor.com/home/codevita-winners-congratulations-on-your-proud-achievement/
ISTE Coding with JAVA .,https://www.shahandanchor.com/home/iste-coding-with-java/
Industrial Visit .,https://www.shahandanchor.com/home/industrial-visit-2/
Internship through Internshala - For First year Students .,https://www.shahandanchor.com/home/internship-through-internshala-for-first-year-students/
Smart India Hack-a-thon 2019(SIH 2019) .,https://www.shahandanchor.com/home/smart-india-hack-thon-2018sih-2018/
CAREER GUIDANCE FOR HIGHER STUDIES .,https://www.shahandanchor.com/home/career-guidance-for-higher-studies-3/
Data Center Technologies – Need of this hour .,https://www.shahandanchor.com/home/datacenter-technologies-need-of-this-hour/
TCS Placed Students .,https://www.shahandanchor.com/home/tcs-placed-students/
Daan Utsav .,https://www.shahandanchor.com/home/attack-security-in-cyber-era/
Hunar 2.0 Orientation Program .,https://www.shahandanchor.com/home/career-guidance/
Blood Donation Camp .,https://www.shahandanchor.com/home/introduction-to-latex/
SAKEC SIH 2019 .,https://www.shahandanchor.com/home/sakec-sih-2019/
Campus to Corporate .,https://www.shahandanchor.com/home/campus-to-corporate/
HUNAR 2.0 in search of Gen-Y Entrepreneurs .,https://www.shahandanchor.com/home/hunar-2-0-in-search-of-gen-y-entrepreneurs/
ABHIYANTRIKI 2018 Internship Expo .,https://www.shahandanchor.com/home/abhiyantriki-2018-internship-expo/
TERM WORK SUBMISSION CARD .,https://www.shahandanchor.com/home/term-work-submission-card/
Bank .,https://www.shahandanchor.com/home/bank/
Seminar Hall .,https://www.shahandanchor.com/home/seminar-hall/
Indoor Sports Facilities .,https://www.shahandanchor.com/home/indoor-sports-facilities/
Girls Common Room .,https://www.shahandanchor.com/home/girls-common-room/
Auditorium .,https://www.shahandanchor.com/home/auditorium-2/
Gymnasium .,https://www.shahandanchor.com/home/gymnasium/
Vaachan Prerna Diwas .,https://www.shahandanchor.com/home/mahatma-gandhi-vaachan-prerna-diwas/
Dance Workshop .,https://www.shahandanchor.com/home/web-development-using-angular-5/
Cognitive Skills Desgin Thinking and Critical Thinking .,https://www.shahandanchor.com/home/cognitive-skills-desgin-thinking-and-critical-thinking-iic/
Self Defense Workshop .,https://www.shahandanchor.com/home/self-defense-workshop/
"Short Term Training Program on ""Recent Trends in IOT"" .",https://www.shahandanchor.com/home/short-term-training-program-on-recent-trends-in-iot/
"Internship opportunity at Microhind, Mumbai .",https://www.shahandanchor.com/home/internship-opportunity-at-microhind-mumbai/
"Global Entrepreneurship Summit at IIT, Kharagpur .",https://www.shahandanchor.com/home/global-entrepreneurship-summit-at-iit-kharagpur/
SAKEC celebrates the achievement of 31st Internship rank among 1800+ colleges .,https://www.shahandanchor.com/home/sakec-celebrates-the-achievement-of-31st-rank-among-1800-colleges/
Startup Support Drive by NMIMS's Atal Incubation Centre (ATC) .,https://www.shahandanchor.com/home/startup-support-drive-by-nmimss-atal-incubation-centre-atc/
Winners of Hunar 2.0 Zonal round .,https://www.shahandanchor.com/home/winners-of-hunar-2-0-zonal-round/
SAKEC Prospectus .,https://www.shahandanchor.com/home/sakec-prospectus/
India First Leadership Talk .,https://www.shahandanchor.com/home/india-first-leadership-talk/
Role of Teachers of the Future .,https://www.shahandanchor.com/home/role-of-teachers-of-the-future/
Placement/Internship Drive by Internshala .,https://www.shahandanchor.com/home/a2e-access-to-employability/
Library .,https://www.shahandanchor.com/home/library/
AN INTERNSHIP OPPORTUNITY ON SYSTEM AND NETWORK ADMINISTRATION .,https://www.shahandanchor.com/home/an-internship-opportunity-on-system-and-network-administration/
Narotam Sekhsaria Scholarship Programme .,https://www.shahandanchor.com/home/narotam-sekhsaria-scholarship-programme/
Institution Innovation Council (IIC) .,https://www.shahandanchor.com/home/institution-innovation-council-iic/
Establishment of the Institution Innovation Council (IIC) .,https://www.shahandanchor.com/home/establishment-of-the-institution-innovation-council-iic/
Internship program on “Programming & Graphics Designing” .,https://www.shahandanchor.com/home/internship-program-on-programming-graphics-designing/
2019 Commonwealth Scholarship in the UK .,https://www.shahandanchor.com/home/2019-commonwealth-scholarship-in-the-uk/
GNUkhata Software .,https://www.shahandanchor.com/home/gnukhata-software/
Congratulations Vistaar Placed!!! .,https://www.shahandanchor.com/home/congratulations-vistaar-placed/
Congratulations Logixal Placed!!! .,https://www.shahandanchor.com/home/congratulations-logixal-placed/
"Glimpse of Inauguration Ceremony of STTP on ""Recent Trends in IOT"" .",https://www.shahandanchor.com/home/glimpse-of-inauguration-ceremony-of-sttp-on-recent-trends-in-iot/
IBM Watson Overview session Registration .,https://www.shahandanchor.com/home/ibm-watson-overview-session/
Financial Career Planning .,https://www.shahandanchor.com/home/financial-career-planning/
Inauguration of SAKEC INNOVATION CENTRE .,https://www.shahandanchor.com/home/a-webinar-on-ipr-by-ms-shwetasree-majumnder-principal-of-fishs-law-chamber/
Internship at WAGGY TAILS PRIVATE LIMITED .,https://www.shahandanchor.com/home/internship-at-waggy-tails-private-limited/
Research @ SAKEC .,https://www.shahandanchor.com/home/research-sakec/
"Internship opportunity at IIT, Gandhinagar. .",https://www.shahandanchor.com/home/active-learning-strategies/
Training and Placement opportunity by Techzilla and IIT Bombay E-Cell. .,https://www.shahandanchor.com/home/training-and-placement-opportunity-by-techzilla-and-iit-bombay-e-cell/
Internship in Association with Roti Bank Mumbai .,https://www.shahandanchor.com/home/internship-in-association-with-roti-bank-mumbai/
Stress Free Exams .,https://www.shahandanchor.com/home/machine-learning-tools/
Hands-on Workshop and Competition on Robotics .,https://www.shahandanchor.com/home/hands-on-workshop-and-competition-on-robotics/
Grand Summer Internship Fair by Internshala .,https://www.shahandanchor.com/home/intellectual-property-rightsipr/
ISTE IV CSTM .,https://www.shahandanchor.com/home/iste-iv-cstm/
ISTE-Magazine Article Collection 2019 .,https://www.shahandanchor.com/home/iste-magazine-launch-2019/
